,time,week_day,traffic
0,1,1,0.0
1,2,1,0.0
2,3,1,0.0
3,4,1,0.0
4,5,1,0.0
5,6,1,1.5
6,7,1,5.3
7,8,1,7.3
8,9,1,5.3
9,10,1,4.2
10,11,1,4.2
11,12,1,4.2
12,13,1,4.2
13,14,1,4.2
14,15,1,4.2
15,16,1,4.2
16,17,1,5.2
17,18,1,7.2
18,19,1,5.5
19,20,1,4.2
20,21,1,3.2
21,22,1,1.2
22,23,1,1.0
23,0,1,0.9
24,1,2,0.0
25,2,2,0.0
26,3,2,0.0
27,4,2,0.0
28,5,2,0.0
29,6,2,1.5
30,7,2,5.5
31,8,2,7.3
32,9,2,4.0
33,10,2,5.8
34,11,2,5.8
35,12,2,5.8
36,13,2,5.8
37,14,2,5.8
38,15,2,5.8
39,16,2,5.8
40,17,2,7.2
41,18,2,8.2
42,19,2,6.2
43,20,2,5.2
44,21,2,3.2
45,22,2,2.2
46,23,2,1.5
47,0,2,1.2
48,1,3,0.0
49,2,3,0.0
50,3,3,0.0
51,4,3,0.0
52,5,3,0.0
53,6,3,1.4
54,7,3,5.0
55,8,3,7.0
56,9,3,6.5
57,10,3,5.9
58,11,3,6.0
59,12,3,6.0
60,13,3,6.1
61,14,3,6.1
62,15,3,6.0
63,16,3,5.9
64,17,3,7.5
65,18,3,8.5
66,19,3,6.5
67,20,3,5.5
68,21,3,3.5
69,22,3,2.5
70,23,3,1.5
71,0,3,1.0
72,1,4,0.0
73,2,4,0.0
74,3,4,0.0
75,4,4,0.0
76,5,4,0.0
77,6,4,1.0
78,7,4,5.0
79,8,4,7.3
80,9,4,6.8
81,10,4,6.0
82,11,4,5.9
83,12,4,5.7
84,13,4,6.0
85,14,4,6.5
86,15,4,6.4
87,16,4,6.4
88,17,4,7.4
89,18,4,8.6
90,19,4,6.6
91,20,4,5.6
92,21,4,3.6
93,22,4,2.6
94,23,4,1.6
95,0,4,1.2
96,1,5,0.0
97,2,5,0.0
98,3,5,0.0
99,4,5,0.0
100,5,5,0.0
101,6,5,1.2
102,7,5,5.5
103,8,5,6.8
104,9,5,6.0
105,10,5,5.1
106,11,5,5.4
107,12,5,5.5
108,13,5,5.7
109,14,5,6.0
110,15,5,6.0
111,16,5,6.0
112,17,5,7.5
113,18,5,8.5
114,19,5,6.5
115,20,5,5.5
116,21,5,3.5
117,22,5,2.5
118,23,5,2.0
119,0,5,1.5
120,1,6,0.0
121,2,6,0.0
122,3,6,0.0
123,4,6,0.0
124,5,6,0.0
125,6,6,0.2
126,7,6,1.0
127,8,6,2.0
128,9,6,2.5
129,10,6,3.0
130,11,6,3.5
131,12,6,4.0
132,13,6,4.5
133,14,6,5.0
134,15,6,5.3
135,16,6,5.6
136,17,6,5.3
137,18,6,5.0
138,19,6,4.5
139,20,6,4.0
140,21,6,3.0
141,22,6,2.0
142,23,6,1.5
143,0,6,1.0
144,1,7,0.0
145,2,7,0.0
146,3,7,0.0
147,4,7,0.0
148,5,7,0.0
149,6,7,0.0
150,7,7,0.5
151,8,7,1.0
152,9,7,1.5
153,10,7,2.0
154,11,7,2.5
155,12,7,3.0
156,13,7,3.3
157,14,7,3.5
158,15,7,3.6
159,16,7,3.6
160,17,7,3.3
161,18,7,3.0
162,19,7,2.5
163,20,7,2.0
164,21,7,1.5
165,22,7,1.3
166,23,7,1.0
167,0,7,0.8
