,time,_V0_,| V0 |,season,week_day
0,0,300.0,9.0,1,3
3,1,300.0,9.1,1,3
6,2,320.0,4.8,1,3
9,3,320.0,9.1,1,3
12,4,330.0,7.9,1,3
15,5,330.0,7.4,1,3
18,6,340.0,7.9,1,3
21,7,350.0,8.9,1,3
24,8,350.0,8.1,1,3
27,9,20.0,6.3,1,3
30,10,340.0,8.1,1,3
33,11,350.0,7.7,1,3
36,12,350.0,5.5,1,3
39,13,340.0,4.8,1,3
42,14,320.0,6.7,1,3
45,15,320.0,7.8,1,3
48,16,310.0,7.4,1,3
51,17,290.0,8.7,1,3
54,18,310.0,7.6,1,3
57,19,300.0,8.4,1,3
60,20,300.0,8.4,1,3
63,21,300.0,7.2,1,3
66,22,290.0,6.9,1,3
69,23,280.0,5.3,1,3
72,0,280.0,6.5,2,6
75,1,270.0,7.9,2,6
78,2,270.0,8.4,2,6
81,3,240.0,7.9,2,6
84,4,250.0,8.9,2,6
87,5,240.0,9.4,2,6
90,6,270.0,10.0,2,6
93,7,270.0,10.2,2,6
96,8,270.0,8.3,2,6
99,9,270.0,10.9,2,6
102,10,270.0,11.9,2,6
105,11,270.0,11.2,2,6
108,12,280.0,8.0,2,6
111,13,280.0,8.5,2,6
114,14,280.0,8.4,2,6
117,15,290.0,9.1,2,6
120,16,290.0,9.0,2,6
123,17,300.0,9.6,2,6
126,18,300.0,7.8,2,6
129,19,290.0,7.6,2,6
132,20,290.0,7.9,2,6
135,21,300.0,8.4,2,6
138,22,300.0,8.8,2,6
141,23,290.0,7.1,2,6
144,0,300.0,6.3,3,7
147,1,290.0,7.5,3,7
150,2,280.0,5.7,3,7
153,3,280.0,7.1,3,7
156,4,280.0,7.3,3,7
159,5,270.0,7.8,3,7
162,6,260.0,6.0,3,7
165,7,270.0,8.1,3,7
168,8,240.0,5.4,3,7
171,9,260.0,8.4,3,7
174,10,240.0,7.8,3,7
177,11,240.0,7.5,3,7
180,12,240.0,7.8,3,7
183,13,260.0,8.3,3,7
186,14,240.0,9.4,3,7
189,15,240.0,9.9,3,7
192,16,240.0,9.0,3,7
195,17,230.0,6.1,3,7
198,18,230.0,8.6,3,7
201,19,230.0,10.4,3,7
204,20,240.0,10.3,3,7
207,21,230.0,9.5,3,7
210,22,230.0,10.1,3,7
213,23,230.0,10.2,3,7
216,0,230.0,8.5,4,3
219,1,230.0,10.3,4,3
222,2,230.0,8.9,4,3
225,3,230.0,10.6,4,3
228,4,230.0,10.5,4,3
231,5,230.0,9.7,4,3
234,6,230.0,9.0,4,3
237,7,230.0,10.3,4,3
240,8,270.0,6.5,4,3
243,9,220.0,6.7,4,3
246,10,240.0,7.3,4,3
249,11,220.0,7.3,4,3
252,12,220.0,7.3,4,3
255,13,220.0,4.8,4,3
258,14,200.0,6.0,4,3
261,15,220.0,6.7,4,3
264,16,230.0,6.5,4,3
267,17,230.0,9.6,4,3
270,18,240.0,7.7,4,3
273,19,260.0,8.3,4,3
276,20,260.0,7.0,4,3
279,21,250.0,8.8,4,3
282,22,240.0,10.1,4,3
285,23,240.0,5.4,4,3
288,0,230.0,9.3,5,5
291,1,240.0,9.0,5,5
294,2,260.0,9.6,5,5
297,3,270.0,7.5,5,5
300,4,270.0,6.6,5,5
303,5,280.0,6.6,5,5
306,6,280.0,8.6,5,5
309,7,270.0,8.4,5,5
312,8,250.0,7.9,5,5
315,9,270.0,8.0,5,5
318,10,280.0,4.6,5,5
321,11,270.0,5.3,5,5
324,12,290.0,6.5,5,5
327,13,290.0,8.4,5,5
330,14,290.0,5.6,5,5
333,15,290.0,7.1,5,5
336,16,310.0,5.4,5,5
339,17,300.0,6.9,5,5
342,18,320.0,8.7,5,5
345,19,320.0,7.1,5,5
348,20,300.0,6.4,5,5
351,21,300.0,7.6,5,5
354,22,300.0,6.3,5,5
357,23,300.0,6.6,5,5
360,0,310.0,6.8,6,1
363,1,300.0,4.9,6,1
366,2,310.0,4.4,6,1
369,3,320.0,3.7,6,1
372,4,320.0,4.1,6,1
375,5,330.0,2.7,6,1
378,6,340.0,2.7,6,1
381,7,350.0,1.9,6,1
384,8,350.0,2.2,6,1
387,9,350.0,1.6,6,1
390,10,340.0,0.7,6,1
393,11,300.0,0.0,6,1
396,12,240.0,0.0,6,1
399,13,260.0,0.9,6,1
402,14,250.0,0.7,6,1
405,15,240.0,1.8,6,1
408,16,260.0,0.9,6,1
411,17,250.0,2.6,6,1
414,18,250.0,3.7,6,1
417,19,250.0,3.4,6,1
420,20,230.0,3.2,6,1
423,21,240.0,3.5,6,1
426,22,220.0,3.2,6,1
429,23,230.0,3.5,6,1
432,0,230.0,4.0,7,3
435,1,230.0,5.2,7,3
438,2,230.0,3.8,7,3
441,3,230.0,3.6,7,3
444,4,230.0,4.0,7,3
447,5,220.0,3.8,7,3
450,6,230.0,3.3,7,3
453,7,230.0,3.2,7,3
456,8,240.0,2.7,7,3
459,9,230.0,2.8,7,3
462,10,240.0,2.2,7,3
465,11,240.0,2.4,7,3
468,12,240.0,2.2,7,3
471,13,250.0,2.4,7,3
474,14,250.0,2.7,7,3
477,15,240.0,1.9,7,3
480,16,250.0,0.9,7,3
483,17,250.0,1.4,7,3
486,18,250.0,3.6,7,3
489,19,250.0,1.4,7,3
492,20,250.0,2.8,7,3
495,21,260.0,2.9,7,3
498,22,260.0,2.0,7,3
501,23,260.0,1.7,7,3
504,0,250.0,3.4,8,6
507,1,250.0,3.3,8,6
510,2,250.0,3.0,8,6
513,3,250.0,3.0,8,6
516,4,250.0,3.8,8,6
519,5,250.0,3.4,8,6
522,6,250.0,2.6,8,6
525,7,250.0,2.8,8,6
528,8,250.0,3.2,8,6
531,9,250.0,3.7,8,6
534,10,250.0,3.4,8,6
537,11,240.0,3.8,8,6
540,12,250.0,3.6,8,6
543,13,240.0,3.3,8,6
546,14,240.0,4.0,8,6
549,15,240.0,4.1,8,6
552,16,250.0,2.1,8,6
555,17,240.0,1.9,8,6
558,18,240.0,5.1,8,6
561,19,240.0,4.1,8,6
564,20,230.0,4.7,8,6
567,21,230.0,4.5,8,6
570,22,230.0,5.1,8,6
573,23,220.0,8.3,8,6
