lon;lat;m_name;address;m_type;sq_km_id
37.651438260121;55.820781414891;Ряжский Кирпичный Завод;Москва, ул. Космонавтов д.10;"Строительные и отделочные материалы    (Кирпичные заводы)";6210
37.651438260121;55.820781414891;Ряжский Кирпичный Завод;Москва, ул. Космонавтов д.10;"Строительные и отделочные материалы    (Кирпичные заводы)";6210
37.626408514088;55.690655820421;Maldex;Москва, Варшавское шоссе, 35, стр.1;"Прочие промышленные производства    (Другие производители)";4978
37.704864268056;55.661716427203;WoodPress;109383, г. Москва, Батюнинский проезд, д. 11;"Промышленное оборудование    (Производители нестандартного оборудования)";4738
37.651438260121;55.820781414891;Ряжский Кирпичный Завод;Москва, ул. Космонавтов д.10;"Строительные и отделочные материалы    (Кирпичные заводы)";6210
37.671866945302;55.784577326767;Helen;г. Москва ул. Русаковская 13/5, 2 этаж, офис 210, БЦ Бородино;"Прочие промышленные производства    (Типографии/полиграфии)";5883
37.626408514088;55.690655820421;Maldex;Москва, Варшавское шоссе, 35, стр.1;"Прочие промышленные производства    (Другие производители)";4978
37.457442852711;55.866528778067;Малые архитектурные формы;Ленинградское ш. 65 стр. 5;"Строительные и отделочные материалы    (Производители фасадных материалов)";6606
37.704864268056;55.661716427203;WoodPress;109383, г. Москва, Батюнинский проезд, д. 11;"Промышленное оборудование    (Производители нестандартного оборудования)";4738
37.704085064351;55.786422781829;Группа Компаний Соло;Москва, ул. Электрозаводская, 21;"Химическая и нефтехимическая промышленность    (Заводы РТИ)";5886
37.671866945302;55.784577326767;Helen;г. Москва ул. Русаковская 13/5, 2 этаж, офис 210, БЦ Бородино;"Прочие промышленные производства    (Типографии/полиграфии)";5883
37.895885937367;55.660040035199;НКУ-ПРО;г.Люберцы, Котельнический проезд, д.29, оф.26;"Энергетика и коммунальное хозяйство    (Заводы электрощитового оборудования)";4751
37.457442852711;55.866528778067;Малые архитектурные формы;Ленинградское ш. 65 стр. 5;"Строительные и отделочные материалы    (Производители фасадных материалов)";6606
37.704085064351;55.786422781829;Группа Компаний Соло;Москва, ул. Электрозаводская, 21;"Химическая и нефтехимическая промышленность    (Заводы РТИ)";5886
37.601978272607;55.437542056334;Аэрдин;г. Подольск, Домодедовское шоссе, д. 45А;"Промышленное оборудование    (Производители вентиляционного оборудования)";2680
37.895885937367;55.660040035199;НКУ-ПРО;г.Люберцы, Котельнический проезд, д.29, оф.26;"Энергетика и коммунальное хозяйство    (Заводы электрощитового оборудования)";4751
37.723095389219;55.606418397774;Glerio;ул. Генерала Белова, д. 26;"Машиностроение и металлообработка    (Светотехнические заводы)";4247
37.582349022023;55.868150781306;Aleaf;Россия, г. Москва, Алтуфьевское шоссе, д.41 А, стр.5;"Химическая и нефтехимическая промышленность    (Производители автохимии)";6615
37.601978272607;55.437542056334;Аэрдин;г. Подольск, Домодедовское шоссе, д. 45А;"Промышленное оборудование    (Производители вентиляционного оборудования)";2680
37.930713225728;55.781358978097;Профессиональные Решения;143930, Московская область, г. Балашиха, Никольско-Архангельский, Разинское шоссе д. 5, БЦ Вешняки, офис 117;"Химическая и нефтехимическая промышленность    (Производители пленок и труб из полимерных материалов)";5902
37.723095389219;55.606418397774;Glerio;ул. Генерала Белова, д. 26;"Машиностроение и металлообработка    (Светотехнические заводы)";4247
37.582349022023;55.868150781306;Aleaf;Россия, г. Москва, Алтуфьевское шоссе, д.41 А, стр.5;"Химическая и нефтехимическая промышленность    (Производители автохимии)";6615
37.579961106679;55.423015812587;Аскол;Подольск, Северная, д.13;"Машиностроение и металлообработка    (Литейные заводы)";2597
37.930713225728;55.781358978097;Профессиональные Решения;143930, Московская область, г. Балашиха, Никольско-Архангельский, Разинское шоссе д. 5, БЦ Вешняки, офис 117;"Химическая и нефтехимическая промышленность    (Производители пленок и труб из полимерных материалов)";5902
37.579961106679;55.423015812587;Аскол;Подольск, Северная, д.13;"Машиностроение и металлообработка    (Литейные заводы)";2597
37.615083522023;55.61278069707;Энергопром-Альянс;Москва, улица Подольских Курсантов, дом 3, строение 2, этаж 2;"Энергетика и коммунальное хозяйство    (Заводы электрощитового оборудования)";4321
37.714035768056;55.783421448966;Смазки Покрытия Сожи;Семеновский пер., 6, Москва, 105187, Россия;"Химическая и нефтехимическая промышленность    (Производители ГСМ)";5886
37.578632318318;55.889294471846;НПО ДиОД;127576, ГОРОД МОСКВА, УЛИЦА НОВГОРОДСКАЯ, ДОМ 1, ПОМ А606;"Легкая промышленность    (Производители СИЗов и спецодежды)";6861
37.615083522023;55.61278069707;Энергопром-Альянс;Москва, улица Подольских Курсантов, дом 3, строение 2, этаж 2;"Энергетика и коммунальное хозяйство    (Заводы электрощитового оборудования)";4321
37.79404703922;55.372099787023;Шоколадница;улица Заборье (Востряково Мкр.), 2-д строение 8;"Пищевая и с/х промышленность    (Кондитерские фабрики)";2120
37.714035768056;55.783421448966;Смазки Покрытия Сожи;Семеновский пер., 6, Москва, 105187, Россия;"Химическая и нефтехимическая промышленность    (Производители ГСМ)";5886
37.542087275706;55.375049102638;Упак-РФ;Московская область, г. Климовск;"Лесная промышленность    (Производители бумажной и картонной тары)";2102
37.578632318318;55.889294471846;НПО ДиОД;127576, ГОРОД МОСКВА, УЛИЦА НОВГОРОДСКАЯ, ДОМ 1, ПОМ А606;"Легкая промышленность    (Производители СИЗов и спецодежды)";6861
37.79404703922;55.372099787023;Шоколадница;улица Заборье (Востряково Мкр.), 2-д строение 8;"Пищевая и с/х промышленность    (Кондитерские фабрики)";2120
37.626919049243;55.684454936736;Глобал Климат;г. Москва, ул. Нагатинская, 1с14;"Промышленное оборудование    (Производители вентиляционного оборудования)";4978
37.542087275706;55.375049102638;Упак-РФ;Московская область, г. Климовск;"Лесная промышленность    (Производители бумажной и картонной тары)";2102
37.418183039219;55.838654414883;НПП Аргата;"""125362, Москва, Строительный проезд 7а, корпус 5, 37";"офис: корпус 28.""";"Медицинская промышленность    (Медицинские заводы)";6357
37.425820623875;55.836648452636;Аргус-М;125362, г. Москва, Строительный проезд, 7а к37;"Машиностроение и металлообработка    (Электромеханические заводы)";6358
37.626919049243;55.684454936736;Глобал Климат;г. Москва, ул. Нагатинская, 1с14;"Промышленное оборудование    (Производители вентиляционного оборудования)";4978
37.418183039219;55.838654414883;НПП Аргата;"""125362, Москва, Строительный проезд 7а, корпус 5, 37";"офис: корпус 28.""";"Медицинская промышленность    (Медицинские заводы)";6357
37.631024141072;55.729089266443;Sarstedt;Большой Строченовский пер., 7, Москва;"Медицинская промышленность    (Производители медицинских расходников)";5388
37.425820623875;55.836648452636;Аргус-М;125362, г. Москва, Строительный проезд, 7а к37;"Машиностроение и металлообработка    (Электромеханические заводы)";6358
37.758163712166;55.634928496245;Артишок;Москва, Братеевская улица, дом 27 корпус 2, помещение 2 ком 6;"Строительные и отделочные материалы    (Камнеобрабатывающие заводы)";4496
37.539499524686;55.687187049448;Центр перспективных технологий;Москва, ул. Строителей, д. 4 к. 5, кв. 47;"Машиностроение и металлообработка    (Приборостроительные заводы)";4972
37.631024141072;55.729089266443;Sarstedt;Большой Строченовский пер., 7, Москва;"Медицинская промышленность    (Производители медицинских расходников)";5388
37.494977149006;55.794006614157;ТД Петровский;г. Москва, ул. Народного Ополчения, д. 48, к. 1;"Пищевая и с/х промышленность    (Кондитерские фабрики)";5953
37.758163712166;55.634928496245;Артишок;Москва, Братеевская улица, дом 27 корпус 2, помещение 2 ком 6;"Строительные и отделочные материалы    (Камнеобрабатывающие заводы)";4496
37.504841098744;55.724123045617;Zin Holding;Минская улица, 2Ж, Москва;"Легкая промышленность    (Производители СИЗов и спецодежды)";5297
37.539499524686;55.687187049448;Центр перспективных технологий;Москва, ул. Строителей, д. 4 к. 5, кв. 47;"Машиностроение и металлообработка    (Приборостроительные заводы)";4972
37.494977149006;55.794006614157;ТД Петровский;г. Москва, ул. Народного Ополчения, д. 48, к. 1;"Пищевая и с/х промышленность    (Кондитерские фабрики)";5953
37.163827387849;55.308064143772;Arma Crypta;Москва, пос. Вороновское;"Лесная промышленность    (Мебельные фабрики)";1501
37.504841098744;55.724123045617;Zin Holding;Минская улица, 2Ж, Москва;"Легкая промышленность    (Производители СИЗов и спецодежды)";5297
37.420414852711;55.903299589322;Материум-Рус;г. Химки, ул. Ленинградская, д.29, эт/оф 9/920/1;"Химическая и нефтехимическая промышленность    (Производители пленок и труб из полимерных материалов)";6931
37.696959123875;55.585847908698;РусДез;г. Москва, Лебедянская улица, 38, этаж 1, пом. III, комната 6;"Химическая и нефтехимическая промышленность    (Химические заводы)";4081
37.163827387849;55.308064143772;Arma Crypta;Москва, пос. Вороновское;"Лесная промышленность    (Мебельные фабрики)";1501
37.571404185058;55.737200682927;Стальконструкция;Москва, ул. Бутлерова, 17б;"Машиностроение и металлообработка    (Заводы металлоконструкций и металлоизделий)";5466
37.420414852711;55.903299589322;Материум-Рус;г. Химки, ул. Ленинградская, д.29, эт/оф 9/920/1;"Химическая и нефтехимическая промышленность    (Производители пленок и труб из полимерных материалов)";6931
37.7680136834;55.722555145282;Дик;Рязанский проспект, д16;"Лесная промышленность    (Мебельные фабрики)";5316
37.696959123875;55.585847908698;РусДез;г. Москва, Лебедянская улица, 38, этаж 1, пом. III, комната 6;"Химическая и нефтехимическая промышленность    (Химические заводы)";4081
37.619129882618;55.622009351085;Мебельная фабрика Castello;Москва, Варшавское шоссе, 125к3с1;"Лесная промышленность    (Мебельные фабрики)";4404
37.571404185058;55.737200682927;Стальконструкция;Москва, ул. Бутлерова, 17б;"Машиностроение и металлообработка    (Заводы металлоконструкций и металлоизделий)";5466
37.7680136834;55.722555145282;Дик;Рязанский проспект, д16;"Лесная промышленность    (Мебельные фабрики)";5316
37.619129882618;55.622009351085;Мебельная фабрика Castello;Москва, Варшавское шоссе, 125к3с1;"Лесная промышленность    (Мебельные фабрики)";4404
37.864243479695;55.75860975216;Текс Трейд;Реутов ул. Победы 1, к. 2, этаж 3;"Легкая промышленность    (Производители пряжи, тканей, ниток)";5651
37.439132606679;55.62586228723;BestMebelShop;Киевское шоссе, 1, корпус А;"Лесная промышленность    (Мебельные фабрики)";4391
37.864243479695;55.75860975216;Текс Трейд;Реутов ул. Победы 1, к. 2, этаж 3;"Легкая промышленность    (Производители пряжи, тканей, ниток)";5651
37.879250310383;55.765987419413;Коконат;ул. Фабричная, д. 8;"Химическая и нефтехимическая промышленность    (Производители косметики и парфюмерии)";5734
37.4110141834;55.833974882639;Winlee;Походный проезд 4к1;"Легкая промышленность    (Текстильные фабрики)";6275
37.439132606679;55.62586228723;BestMebelShop;Киевское шоссе, 1, корпус А;"Лесная промышленность    (Мебельные фабрики)";4391
37.879250310383;55.765987419413;Коконат;ул. Фабричная, д. 8;"Химическая и нефтехимическая промышленность    (Производители косметики и парфюмерии)";5734
37.579853818318;55.423041440744;Профиполимер;;"Химическая и нефтехимическая промышленность    (Производители упаковки и пакетов)";2597
37.4110141834;55.833974882639;Winlee;Походный проезд 4к1;"Легкая промышленность    (Текстильные фабрики)";6275
37.638682022023;55.649671824938;Liza;115201, г. Москва, 1-й Котляковский пер-ок, д. 3;"Легкая промышленность    (Швейные фабрики)";4651
37.579853818318;55.423041440744;Профиполимер;;"Химическая и нефтехимическая промышленность    (Производители упаковки и пакетов)";2597
37.625129501718;55.672536957569;Диалог;Варшавское шоссе, дом 46;"Машиностроение и металлообработка    (Заводы металлоконструкций и металлоизделий)";4814
37.721292895039;55.710153655986;Химпроминжиниринг;г. Москва, Волгоградский просп., д. 42, корп. 13;"Строительные и отделочные материалы    (Производители композитных материалов и утеплителей)";5231
37.638682022023;55.649671824938;Liza;115201, г. Москва, 1-й Котляковский пер-ок, д. 3;"Легкая промышленность    (Швейные фабрики)";4651
37.625129501718;55.672536957569;Диалог;Варшавское шоссе, дом 46;"Машиностроение и металлообработка    (Заводы металлоконструкций и металлоизделий)";4814
37.721292895039;55.710153655986;Химпроминжиниринг;г. Москва, Волгоградский просп., д. 42, корп. 13;"Строительные и отделочные материалы    (Производители композитных материалов и утеплителей)";5231
37.546717141072;55.661876555605;Типография Мы рядом;улица Профсоюзная 57;"Прочие промышленные производства    (Типографии/полиграфии)";4726
37.546717141072;55.661876555605;Типография Мы рядом;улица Профсоюзная 57;"Прочие промышленные производства    (Типографии/полиграфии)";4726
37.962990860646;55.559680677018;CoolTex;Лыткарино, ул. Тураевская 26;"Легкая промышленность    (Текстильные фабрики)";3854
