time;_V0_;| V0 |;season;week_day
0;300.0;9.0;1;3
1;300.0;9.1;1;3
2;320.0;4.8;1;3
3;320.0;9.1;1;3
4;330.0;7.9;1;3
5;330.0;7.4;1;3
6;340.0;7.9;1;3
7;350.0;8.9;1;3
8;350.0;8.1;1;3
9;20.0;6.3;1;3
10;340.0;8.1;1;3
11;350.0;7.7;1;3
12;350.0;5.5;1;3
13;340.0;4.8;1;3
14;320.0;6.7;1;3
15;320.0;7.8;1;3
16;310.0;7.4;1;3
17;290.0;8.7;1;3
18;310.0;7.6;1;3
19;300.0;8.4;1;3
20;300.0;8.4;1;3
21;300.0;7.2;1;3
22;290.0;6.9;1;3
23;280.0;5.3;1;3
0;280.0;6.5;2;6
1;270.0;7.9;2;6
2;270.0;8.4;2;6
3;240.0;7.9;2;6
4;250.0;8.9;2;6
5;240.0;9.4;2;6
6;270.0;10.0;2;6
7;270.0;10.2;2;6
8;270.0;8.3;2;6
9;270.0;10.9;2;6
10;270.0;11.9;2;6
11;270.0;11.2;2;6
12;280.0;8.0;2;6
13;280.0;8.5;2;6
14;280.0;8.4;2;6
15;290.0;9.1;2;6
16;290.0;9.0;2;6
17;300.0;9.6;2;6
18;300.0;7.8;2;6
19;290.0;7.6;2;6
20;290.0;7.9;2;6
21;300.0;8.4;2;6
22;300.0;8.8;2;6
23;290.0;7.1;2;6
0;300.0;6.3;3;7
1;290.0;7.5;3;7
2;280.0;5.7;3;7
3;280.0;7.1;3;7
4;280.0;7.3;3;7
5;270.0;7.8;3;7
6;260.0;6.0;3;7
7;270.0;8.1;3;7
8;240.0;5.4;3;7
9;260.0;8.4;3;7
10;240.0;7.8;3;7
11;240.0;7.5;3;7
12;240.0;7.8;3;7
13;260.0;8.3;3;7
14;240.0;9.4;3;7
15;240.0;9.9;3;7
16;240.0;9.0;3;7
17;230.0;6.1;3;7
18;230.0;8.6;3;7
19;230.0;10.4;3;7
20;240.0;10.3;3;7
21;230.0;9.5;3;7
22;230.0;10.1;3;7
23;230.0;10.2;3;7
0;230.0;8.5;4;3
1;230.0;10.3;4;3
2;230.0;8.9;4;3
3;230.0;10.6;4;3
4;230.0;10.5;4;3
5;230.0;9.7;4;3
6;230.0;9.0;4;3
7;230.0;10.3;4;3
8;270.0;6.5;4;3
9;220.0;6.7;4;3
10;240.0;7.3;4;3
11;220.0;7.3;4;3
12;220.0;7.3;4;3
13;220.0;4.8;4;3
14;200.0;6.0;4;3
15;220.0;6.7;4;3
16;230.0;6.5;4;3
17;230.0;9.6;4;3
18;240.0;7.7;4;3
19;260.0;8.3;4;3
20;260.0;7.0;4;3
21;250.0;8.8;4;3
22;240.0;10.1;4;3
23;240.0;5.4;4;3
0;230.0;9.3;5;5
1;240.0;9.0;5;5
2;260.0;9.6;5;5
3;270.0;7.5;5;5
4;270.0;6.6;5;5
5;280.0;6.6;5;5
6;280.0;8.6;5;5
7;270.0;8.4;5;5
8;250.0;7.9;5;5
9;270.0;8.0;5;5
10;280.0;4.6;5;5
11;270.0;5.3;5;5
12;290.0;6.5;5;5
13;290.0;8.4;5;5
14;290.0;5.6;5;5
15;290.0;7.1;5;5
16;310.0;5.4;5;5
17;300.0;6.9;5;5
18;320.0;8.7;5;5
19;320.0;7.1;5;5
20;300.0;6.4;5;5
21;300.0;7.6;5;5
22;300.0;6.3;5;5
23;300.0;6.6;5;5
0;310.0;6.8;6;1
1;300.0;4.9;6;1
2;310.0;4.4;6;1
3;320.0;3.7;6;1
4;320.0;4.1;6;1
5;330.0;2.7;6;1
6;340.0;2.7;6;1
7;350.0;1.9;6;1
8;350.0;2.2;6;1
9;350.0;1.6;6;1
10;340.0;0.7;6;1
11;300.0;0.0;6;1
12;240.0;0.0;6;1
13;260.0;0.9;6;1
14;250.0;0.7;6;1
15;240.0;1.8;6;1
16;260.0;0.9;6;1
17;250.0;2.6;6;1
18;250.0;3.7;6;1
19;250.0;3.4;6;1
20;230.0;3.2;6;1
21;240.0;3.5;6;1
22;220.0;3.2;6;1
23;230.0;3.5;6;1
0;230.0;4.0;7;3
1;230.0;5.2;7;3
2;230.0;3.8;7;3
3;230.0;3.6;7;3
4;230.0;4.0;7;3
5;220.0;3.8;7;3
6;230.0;3.3;7;3
